,feature_combination,best_n_neighbors,best_cv_score
190,"('cp_4.0', 'thal_7.0', 'exang', 'age')",38,0.7780964649385702
191,"('cp_4.0', 'thal_7.0', 'slope_1.0', 'slope_2.0')",22,0.7798298722211766
192,"('cp_4.0', 'thal_7.0', 'slope_1.0', 'cp_3.0')",10,0.7579036905123862
193,"('cp_4.0', 'thal_7.0', 'slope_1.0', 'sex')",4,0.7765205004335439
194,"('cp_4.0', 'thal_7.0', 'slope_1.0', 'age')",14,0.790774301382997
195,"('cp_4.0', 'thal_7.0', 'slope_2.0', 'cp_3.0')",10,0.744838755447451
196,"('cp_4.0', 'thal_7.0', 'slope_2.0', 'sex')",2,0.7774590787634266
197,"('cp_4.0', 'thal_7.0', 'slope_2.0', 'age')",22,0.7775547907470104
198,"('cp_4.0', 'thal_7.0', 'cp_3.0', 'sex')",16,0.7458105144283634
199,"('cp_4.0', 'thal_7.0', 'cp_3.0', 'age')",20,0.7439171050155032
200,"('cp_4.0', 'thal_7.0', 'sex', 'age')",6,0.7557630485456573
201,"('cp_4.0', 'ca', 'oldpeak', 'thalach')",28,0.7803738793624376
202,"('cp_4.0', 'ca', 'oldpeak', 'exang')",22,0.7737313855734907
203,"('cp_4.0', 'ca', 'oldpeak', 'slope_1.0')",14,0.7649038050835062
204,"('cp_4.0', 'ca', 'oldpeak', 'slope_2.0')",14,0.7897393740104738
205,"('cp_4.0', 'ca', 'oldpeak', 'cp_3.0')",4,0.7623784733784734
206,"('cp_4.0', 'ca', 'oldpeak', 'sex')",12,0.793063492063492
207,"('cp_4.0', 'ca', 'oldpeak', 'age')",28,0.7689167110838937
208,"('cp_4.0', 'ca', 'thalach', 'exang')",8,0.7733256939139292
209,"('cp_4.0', 'ca', 'thalach', 'slope_1.0')",14,0.7752780601041471
210,"('cp_4.0', 'ca', 'thalach', 'slope_2.0')",34,0.7673026693621658
211,"('cp_4.0', 'ca', 'thalach', 'cp_3.0')",30,0.7633968253968254
212,"('cp_4.0', 'ca', 'thalach', 'sex')",34,0.7779557640427206
213,"('cp_4.0', 'ca', 'thalach', 'age')",28,0.7777501230018392
214,"('cp_4.0', 'ca', 'exang', 'slope_1.0')",38,0.7761133895344422
215,"('cp_4.0', 'ca', 'exang', 'slope_2.0')",36,0.7664733357457816
216,"('cp_4.0', 'ca', 'exang', 'cp_3.0')",26,0.7664992492339376
217,"('cp_4.0', 'ca', 'exang', 'sex')",40,0.7786694729419186
218,"('cp_4.0', 'ca', 'exang', 'age')",24,0.7765028305028305
219,"('cp_4.0', 'ca', 'slope_1.0', 'slope_2.0')",6,0.7677066708246382
220,"('cp_4.0', 'ca', 'slope_1.0', 'cp_3.0')",12,0.766353004767327
221,"('cp_4.0', 'ca', 'slope_1.0', 'sex')",24,0.7700220311089876
222,"('cp_4.0', 'ca', 'slope_1.0', 'age')",4,0.7813663389750346
223,"('cp_4.0', 'ca', 'slope_2.0', 'cp_3.0')",20,0.7544262648405871
224,"('cp_4.0', 'ca', 'slope_2.0', 'sex')",26,0.7817702217267436
225,"('cp_4.0', 'ca', 'slope_2.0', 'age')",18,0.7699746607320977
226,"('cp_4.0', 'ca', 'cp_3.0', 'sex')",22,0.7450319293286045
227,"('cp_4.0', 'ca', 'cp_3.0', 'age')",12,0.7254280464005864
228,"('cp_4.0', 'ca', 'sex', 'age')",16,0.7601777170198223
229,"('cp_4.0', 'oldpeak', 'thalach', 'exang')",6,0.722716655325351
230,"('cp_4.0', 'oldpeak', 'thalach', 'slope_1.0')",14,0.7199797979797979
231,"('cp_4.0', 'oldpeak', 'thalach', 'slope_2.0')",14,0.7288212450616542
232,"('cp_4.0', 'oldpeak', 'thalach', 'cp_3.0')",12,0.7165213771735511
233,"('cp_4.0', 'oldpeak', 'thalach', 'sex')",8,0.7502629978716936
234,"('cp_4.0', 'oldpeak', 'thalach', 'age')",36,0.7387947900351992
235,"('cp_4.0', 'oldpeak', 'exang', 'slope_1.0')",18,0.7317069557175897
236,"('cp_4.0', 'oldpeak', 'exang', 'slope_2.0')",18,0.7480457566842006
237,"('cp_4.0', 'oldpeak', 'exang', 'cp_3.0')",12,0.7058078149920255
238,"('cp_4.0', 'oldpeak', 'exang', 'sex')",28,0.7513109113109113
239,"('cp_4.0', 'oldpeak', 'exang', 'age')",4,0.7660434058694928
240,"('cp_4.0', 'oldpeak', 'slope_1.0', 'slope_2.0')",2,0.7225528896113603
241,"('cp_4.0', 'oldpeak', 'slope_1.0', 'cp_3.0')",36,0.722055900621118
242,"('cp_4.0', 'oldpeak', 'slope_1.0', 'sex')",40,0.7640822510822511
243,"('cp_4.0', 'oldpeak', 'slope_1.0', 'age')",4,0.7277053384174824
244,"('cp_4.0', 'oldpeak', 'slope_2.0', 'cp_3.0')",36,0.7367974646761832
245,"('cp_4.0', 'oldpeak', 'slope_2.0', 'sex')",34,0.7858716935238675
246,"('cp_4.0', 'oldpeak', 'slope_2.0', 'age')",4,0.7490790052859019
247,"('cp_4.0', 'oldpeak', 'cp_3.0', 'sex')",10,0.7606162034422904
248,"('cp_4.0', 'oldpeak', 'cp_3.0', 'age')",6,0.7538333405724711
249,"('cp_4.0', 'oldpeak', 'sex', 'age')",4,0.7626762609371305
250,"('cp_4.0', 'thalach', 'exang', 'slope_1.0')",20,0.7421999663189593
251,"('cp_4.0', 'thalach', 'exang', 'slope_2.0')",20,0.7285967274525625
252,"('cp_4.0', 'thalach', 'exang', 'cp_3.0')",10,0.6878552444997457
253,"('cp_4.0', 'thalach', 'exang', 'sex')",16,0.7399124140542905
254,"('cp_4.0', 'thalach', 'exang', 'age')",6,0.7301676077545642
255,"('cp_4.0', 'thalach', 'slope_1.0', 'slope_2.0')",12,0.735913308913309
256,"('cp_4.0', 'thalach', 'slope_1.0', 'cp_3.0')",28,0.7263205714433336
257,"('cp_4.0', 'thalach', 'slope_1.0', 'sex')",8,0.7495053419566163
258,"('cp_4.0', 'thalach', 'slope_1.0', 'age')",36,0.7198986084136171
259,"('cp_4.0', 'thalach', 'slope_2.0', 'cp_3.0')",36,0.7306495757723379
260,"('cp_4.0', 'thalach', 'slope_2.0', 'sex')",16,0.7760786749482402
261,"('cp_4.0', 'thalach', 'slope_2.0', 'age')",38,0.7386676001344193
262,"('cp_4.0', 'thalach', 'cp_3.0', 'sex')",4,0.7465268628312105
263,"('cp_4.0', 'thalach', 'cp_3.0', 'age')",40,0.7211454197975937
264,"('cp_4.0', 'thalach', 'sex', 'age')",6,0.7535017398060876
265,"('cp_4.0', 'exang', 'slope_1.0', 'slope_2.0')",30,0.734967825282807
266,"('cp_4.0', 'exang', 'slope_1.0', 'cp_3.0')",36,0.7343057280883366
267,"('cp_4.0', 'exang', 'slope_1.0', 'sex')",38,0.7631596229857099
268,"('cp_4.0', 'exang', 'slope_1.0', 'age')",6,0.7671096214574475
269,"('cp_4.0', 'exang', 'slope_2.0', 'cp_3.0')",2,0.7368300277977697
270,"('cp_4.0', 'exang', 'slope_2.0', 'sex')",20,0.7593905042326095
271,"('cp_4.0', 'exang', 'slope_2.0', 'age')",6,0.7704500008847834
272,"('cp_4.0', 'exang', 'cp_3.0', 'sex')",32,0.7245887083930562
273,"('cp_4.0', 'exang', 'cp_3.0', 'age')",8,0.7347081855342725
274,"('cp_4.0', 'exang', 'sex', 'age')",20,0.7626934981282807
275,"('cp_4.0', 'slope_1.0', 'slope_2.0', 'cp_3.0')",6,0.7434408307878831
276,"('cp_4.0', 'slope_1.0', 'slope_2.0', 'sex')",6,0.7855601564297217
277,"('cp_4.0', 'slope_1.0', 'slope_2.0', 'age')",16,0.7450869831922463
278,"('cp_4.0', 'slope_1.0', 'cp_3.0', 'sex')",4,0.7765288173983825
279,"('cp_4.0', 'slope_1.0', 'cp_3.0', 'age')",6,0.7266326126185669
280,"('cp_4.0', 'slope_1.0', 'sex', 'age')",6,0.7715018697473115
281,"('cp_4.0', 'slope_2.0', 'cp_3.0', 'sex')",6,0.7790701279396932
282,"('cp_4.0', 'slope_2.0', 'cp_3.0', 'age')",38,0.7217757437070937
283,"('cp_4.0', 'slope_2.0', 'sex', 'age')",20,0.7819629130933479
284,"('cp_4.0', 'cp_3.0', 'sex', 'age')",12,0.7689580753774302
285,"('thal_7.0', 'ca', 'oldpeak', 'thalach')",36,0.7797324681420792
286,"('thal_7.0', 'ca', 'oldpeak', 'exang')",34,0.7912393929487751
287,"('thal_7.0', 'ca', 'oldpeak', 'slope_1.0')",12,0.7675475249388293
288,"('thal_7.0', 'ca', 'oldpeak', 'slope_2.0')",40,0.7684508586043113
289,"('thal_7.0', 'ca', 'oldpeak', 'cp_3.0')",22,0.7944269765322396
290,"('thal_7.0', 'ca', 'oldpeak', 'sex')",40,0.7816066084944804
291,"('thal_7.0', 'ca', 'oldpeak', 'age')",8,0.7939483415135589
292,"('thal_7.0', 'ca', 'thalach', 'exang')",14,0.7976706588605901
293,"('thal_7.0', 'ca', 'thalach', 'slope_1.0')",20,0.7811332580463015
294,"('thal_7.0', 'ca', 'thalach', 'slope_2.0')",22,0.771866930171278
295,"('thal_7.0', 'ca', 'thalach', 'cp_3.0')",32,0.796133309863287
296,"('thal_7.0', 'ca', 'thalach', 'sex')",14,0.7939810380313813
297,"('thal_7.0', 'ca', 'thalach', 'age')",10,0.8018942613450623
298,"('thal_7.0', 'ca', 'exang', 'slope_1.0')",24,0.8090900403943883
299,"('thal_7.0', 'ca', 'exang', 'slope_2.0')",30,0.7975443450523542
300,"('thal_7.0', 'ca', 'exang', 'cp_3.0')",8,0.794742141916055
301,"('thal_7.0', 'ca', 'exang', 'sex')",32,0.7954822343517995
302,"('thal_7.0', 'ca', 'exang', 'age')",36,0.811510485700417
303,"('thal_7.0', 'ca', 'slope_1.0', 'slope_2.0')",28,0.7825955204216074
304,"('thal_7.0', 'ca', 'slope_1.0', 'cp_3.0')",30,0.8118647729082511
305,"('thal_7.0', 'ca', 'slope_1.0', 'sex')",36,0.7826344814605684
306,"('thal_7.0', 'ca', 'slope_1.0', 'age')",28,0.7939691125045816
307,"('thal_7.0', 'ca', 'slope_2.0', 'cp_3.0')",32,0.8125920456355239
308,"('thal_7.0', 'ca', 'slope_2.0', 'sex')",4,0.7865314720262246
309,"('thal_7.0', 'ca', 'slope_2.0', 'age')",4,0.7845592008635487
310,"('thal_7.0', 'ca', 'cp_3.0', 'sex')",10,0.8062851673286454
311,"('thal_7.0', 'ca', 'cp_3.0', 'age')",18,0.8009203839638623
312,"('thal_7.0', 'ca', 'sex', 'age')",8,0.7866536796536796
313,"('thal_7.0', 'oldpeak', 'thalach', 'exang')",4,0.7601889012758578
314,"('thal_7.0', 'oldpeak', 'thalach', 'slope_1.0')",38,0.7401685174728653
315,"('thal_7.0', 'oldpeak', 'thalach', 'slope_2.0')",32,0.7591869627956584
316,"('thal_7.0', 'oldpeak', 'thalach', 'cp_3.0')",20,0.7692357433924267
317,"('thal_7.0', 'oldpeak', 'thalach', 'sex')",36,0.774279348670653
